query_repository,method,rank,recommended_repository,description,stars,forks,issues
vue,hybrid,5,nuxt,"Nuxt is an intuitive and extendable way to create type-safe, performant and production-grade full-stack web apps and websites with Vue 3.",47504,4365,964
flutter,semantic,1,awesome-flutter,"An awesome list that curates the best Flutter libraries, tools, tutorials, articles and more.",48506,6504,57
flutter,semantic,2,architecture-samples,A collection of samples to discuss and showcase different architectural tools and patterns for Android apps.,43146,11580,203
flutter,semantic,3,fastlane,🚀 The easiest way to automate building and releasing your iOS and Android apps,37530,5611,532
flutter,semantic,4,AppFlowy,AppFlowy is an open-source alternative to Notion. You are in charge of your data and customizations. Built with Flutter and Rust.,38662,2408,558
flutter,semantic,5,awesome-android-ui,A curated list of awesome Android UI/UX libraries,47384,10326,27
flutter,graph,1,awesome-flutter,"An awesome list that curates the best Flutter libraries, tools, tutorials, articles and more.",48506,6504,57
flutter,graph,2,AppFlowy,AppFlowy is an open-source alternative to Notion. You are in charge of your data and customizations. Built with Flutter and Rust.,38662,2408,558
flutter,graph,3,awesome-android-ui,A curated list of awesome Android UI/UX libraries,47384,10326,27
flutter,graph,4,fastlane,🚀 The easiest way to automate building and releasing your iOS and Android apps,37530,5611,532
flutter,graph,5,open-source-ios-apps,:iphone: Collaborative List of Open-Source iOS Apps,36431,5176,2
flutter,hybrid,1,awesome-flutter,"An awesome list that curates the best Flutter libraries, tools, tutorials, articles and more.",48506,6504,57
flutter,hybrid,2,fastlane,🚀 The easiest way to automate building and releasing your iOS and Android apps,37530,5611,532
flutter,hybrid,3,architecture-samples,A collection of samples to discuss and showcase different architectural tools and patterns for Android apps.,43146,11580,203
flutter,hybrid,4,AppFlowy,AppFlowy is an open-source alternative to Notion. You are in charge of your data and customizations. Built with Flutter and Rust.,38662,2408,558
flutter,hybrid,5,awesome-android-ui,A curated list of awesome Android UI/UX libraries,47384,10326,27
kubernetes,semantic,1,moby,Moby Project - a collaborative project for the container ecosystem to assemble container-based systems,66680,18874,3278
kubernetes,semantic,2,lazydocker,The lazier way to manage everything docker,30477,1053,113
kubernetes,semantic,3,compose,Define and run multi-container applications with Docker,30520,5021,198
kubernetes,semantic,4,netdata,"Monitor your servers, containers, and applications, in high-resolution and in real-time!",65126,5664,359
kubernetes,semantic,5,pm2,Node.js Production Process Manager with a built-in Load Balancer.,39682,2572,829
kubernetes,graph,1,lazydocker,The lazier way to manage everything docker,30477,1053,113
kubernetes,graph,2,moby,Moby Project - a collaborative project for the container ecosystem to assemble container-based systems,66680,18874,3278
kubernetes,graph,3,dive,A tool for exploring each layer in a docker image,38433,1538,139
kubernetes,graph,4,compose,Define and run multi-container applications with Docker,30520,5021,198
kubernetes,graph,5,netdata,"Monitor your servers, containers, and applications, in high-resolution and in real-time!",65126,5664,359
kubernetes,hybrid,1,moby,Moby Project - a collaborative project for the container ecosystem to assemble container-based systems,66680,18874,3278
kubernetes,hybrid,2,lazydocker,The lazier way to manage everything docker,30477,1053,113
kubernetes,hybrid,3,compose,Define and run multi-container applications with Docker,30520,5021,198
kubernetes,hybrid,4,netdata,"Monitor your servers, containers, and applications, in high-resolution and in real-time!",65126,5664,359
kubernetes,hybrid,5,dive,A tool for exploring each layer in a docker image,38433,1538,139
